基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
000001,华夏成长混合,混合型-灵活,HXCZHH,HUAXIACHENGZHANGHUNHE,
000002,华夏成长混合(后端),混合型-灵活,HXCZHH,HUAXIACHENGZHANGHUNHE,
000003,中海可转债债券A,债券型-混合二级,ZHKZZZQA,ZHONGHAIKEZHUANZHAIZHAIQUANA,
000004,中海可转债债券C,债券型-混合二级,ZHKZZZQC,ZHONGHAIKEZHUANZHAIZHAIQUANC,
000005,嘉实增强信用定期债券,债券型-混合一级,JSZQXYDQZQ,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN,
000006,西部利得量化成长混合A,混合型-偏股,XBLDLHCZHHA,XIBULIDELIANGHUACHENGZHANGHUNHEA,
000008,嘉实中证500ETF联接A,指数型-股票,JSZZ500ETFLJA,JIASHIZHONGZHENG500ETFLIANJIEA,
000009,易方达天天理财货币A,货币型-普通货币,YFDTTLCHBA,YIFANGDATIANTIANLICAIHUOBIA,
000010,易方达天天理财货币B,货币型-普通货币,YFDTTLCHBB,YIFANGDATIANTIANLICAIHUOBIB,
000011,华夏大盘精选混合A,混合型-灵活,HXDPJXHHA,HUAXIADAPANJINGXUANHUNHEA,
000012,华夏大盘精选混合A(后端),混合型-灵活,HXDPJXHHA,HUAXIADAPANJINGXUANHUNHEA,
000013,易方达天天理财货币R,货币型-普通货币,YFDTTLCHBR,YIFANGDATIANTIANLICAIHUOBIR,
000014,华夏聚利债券A,债券型-混合一级,HXJLZQA,HUAXIAJULIZHAIQUANA,
000015,华夏纯债债券A,债券型-长债,HXCZZQA,HUAXIACHUNZHAIZHAIQUANA,
000016,华夏纯债债券C,债券型-长债,HXCZZQC,HUAXIACHUNZHAIZHAIQUANC,
000017,财通可持续混合,混合型-偏股,CTKCXHH,CAITONGKECHIXUHUNHE,
000020,景顺长城品质投资混合A,混合型-偏股,JSCCPZTZHHA,JINGSHUNCHANGCHENGPINZHITOUZIHUNHEA,
000021,华夏优势增长混合,混合型-偏股,HXYSZZHH,HUAXIAYOUSHIZENGZHANGHUNHE,
000024,大摩双利增强债券A,债券型-混合一级,DMSLZQZQA,DAMOSHUANGLIZENGQIANGZHAIQUANA,
000025,大摩双利增强债券C,债券型-混合一级,DMSLZQZQC,DAMOSHUANGLIZENGQIANGZHAIQUANC,
000028,华富安鑫债券A,债券型-混合二级,HFAXZQA,HUAFUANXINZHAIQUANA,
000029,富国宏观策略灵活配置混合A,混合型-灵活,FGHGCLLHPZHHA,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA,
000030,长城核心优选混合A,混合型-灵活,CCHXYXHHA,CHANGCHENGHEXINYOUXUANHUNHEA,
000031,华夏复兴混合A,混合型-偏股,HXFXHHA,HUAXIAFUXINGHUNHEA,
000032,易方达信用债债券A,债券型-长债,YFDXYZZQA,YIFANGDAXINYONGZHAIZHAIQUANA,
000033,易方达信用债债券C,债券型-长债,YFDXYZZQC,YIFANGDAXINYONGZHAIZHAIQUANC,
000037,广发景宁债券A,债券型-长债,GFJNZQA,GUANGFAJINGNINGZHAIQUANA,
000039,农银高增长混合,混合型-偏股,NYGZZHH,NONGYINGAOZENGZHANGHUNHE,
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,HXQQGPQDIIRMB,HUAXIAQUANQIUGUPIAOQDIIRENMINBI,Y
000042,财通中证ESG100指数增强A,指数型-股票,CTZZESG100ZSZQA,CAITONGZHONGZHENGESG100ZHISHUZENGQIANGA,
000043,嘉实美国成长股票人民币,QDII-普通股票,JSMGCZGPRMB,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI,Y
000044,嘉实美国成长股票美元现汇,QDII-普通股票,JSMGCZGPMYXH,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI,Y
000045,工银产业债债券A,债券型-混合二级,GYCYZZQA,GONGYINCHANYEZHAIZHAIQUANA,
000046,工银产业债债券B,债券型-混合二级,GYCYZZQB,GONGYINCHANYEZHAIZHAIQUANB,
000047,华夏双债债券A,债券型-混合一级,HXSZZQA,HUAXIASHUANGZHAIZHAIQUANA,
000048,华夏双债债券C,债券型-混合一级,HXSZZQC,HUAXIASHUANGZHAIZHAIQUANC,
000051,华夏沪深300ETF联接A,指数型-股票,HXHS300ETFLJA,HUAXIAHUSHEN300ETFLIANJIEA,
000053,鹏华永诚一年定开债券,债券型-长债,PHYCYNDKZQ,PENGHUAYONGCHENGYINIANDINGKAIZHAIQUAN,
000054,鹏华双债增利债券A,债券型-混合二级,PHSZZLZQA,PENGHUASHUANGZHAIZENGLIZHAIQUANA,
000055,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,GFNSDK100ETFLJMYQDIIA,GUANGFANASIDAKE100ETFLIANJIEMEIYUANQDIIA,
000056,建信消费升级混合,混合型-灵活,JXXFSJHH,JIANXINXIAOFEISHENGJIHUNHE,
000057,中银消费主题混合A,混合型-偏股,ZYXFZTHHA,ZHONGYINXIAOFEIZHUTIHUNHEA,
000058,国联安安泰灵活配置混合A,混合型-灵活,GLAATLHPZHHA,GUOLIANANANTAILINGHUOPEIZHIHUNHEA,
000059,国联安中证医药100A,指数型-股票,GLAZZYY100A,GUOLIANANZHONGZHENGYIYAO100A,
000061,华夏盛世混合,混合型-偏股,HXSSHH,HUAXIASHENGSHIHUNHE,
000063,长盛电子信息主题混合A,混合型-灵活,CSDZXXZTHHA,CHANGSHENGDIANZIXINXIZHUTIHUNHEA,
000064,大摩18个月定开债C,债券型-长债,DM18GYDKZC,DAMO18GEYUEDINGKAIZHAIC,
000065,国富焦点驱动混合A,混合型-灵活,GFJDQDHHA,GUOFUJIAODIANQUDONGHUNHEA,
000066,诺安鸿鑫混合A,混合型-偏股,NAHXHHA,NUOANHONGXINHUNHEA,
000067,民生加银转债优选A,债券型-混合二级,MSJYZZYXA,MINSHENGJIAYINZHUANZHAIYOUXUANA,
000068,民生加银转债优选C,债券型-混合二级,MSJYZZYXC,MINSHENGJIAYINZHUANZHAIYOUXUANC,
000069,国投瑞银中高等级债券A,债券型-混合一级,GTRYZGDJZQA,GUOTOURUIYINZHONGGAODENGJIZHAIQUANA,
000070,国投瑞银中高等级债券C,债券型-混合一级,GTRYZGDJZQC,GUOTOURUIYINZHONGGAODENGJIZHAIQUANC,
000071,华夏恒生ETF联接A,指数型-海外股票,HXHSETFLJA,HUAXIAHENGSHENGETFLIANJIEA,
000072,华安稳健回报混合A,混合型-灵活,HAWJHBHHA,HUAANWENJIANHUIBAOHUNHEA,
000073,摩根成长动力混合A,混合型-灵活,MGCZDLHHA,MOGENCHENGZHANGDONGLIHUNHEA,
000074,工银信用纯债一年定开债A,债券型-长债,GYXYCZYNDKZA,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIA,
000075,华夏恒生ETF联接现汇,指数型-海外股票,HXHSETFLJXH,HUAXIAHENGSHENGETFLIANJIEXIANHUI,
000076,华夏恒生ETF联接现钞,指数型-海外股票,HXHSETFLJXC,HUAXIAHENGSHENGETFLIANJIEXIANCHAO,
000077,工银信用纯债一年定开债C,债券型-长债,GYXYCZYNDKZC,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIC,
000078,工银信用纯债三个月定开债A,债券型-长债,GYXYCZSGYDKZA,GONGYINXINYONGCHUNZHAISANGEYUEDINGKAIZHAIA,
000079,工银信用纯债三个月定开债C,债券型-长债,GYXYCZSGYDKZC,GONGYINXINYONGCHUNZHAISANGEYUEDINGKAIZHAIC,
000080,天治可转债增强债券A,债券型-混合二级,TZKZZZQZQA,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANA,
000081,天治可转债增强债券C,债券型-混合二级,TZKZZZQZQC,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANC,
000082,嘉实研究阿尔法股票A,股票型,JSYJAEFGPA,JIASHIYANJIUAERFAGUPIAOA,
000083,汇添富消费行业混合,混合型-偏股,HTFXFHYHH,HUITIANFUXIAOFEIHANGYEHUNHE,
000084,博时安盈债券A,债券型-中短债,BSAYZQA,BOSHIANYINGZHAIQUANA,
000085,博时安盈债券C,债券型-中短债,BSAYZQC,BOSHIANYINGZHAIQUANC,
000086,南方稳利1年持有期债券A,债券型-长债,NFWL1NCYQZQA,NANFANGWENLI1NIANCHIYOUQIZHAIQUANA,
000089,民生加银高等级信用债C,债券型-中短债,MSJYGDJXYZC,MINSHENGJIAYINGAODENGJIXINYONGZHAIC,
000090,民生加银高等级信用债A,债券型-中短债,MSJYGDJXYZA,MINSHENGJIAYINGAODENGJIXINYONGZHAIA,
000103,国泰境外高收益债(QDII),QDII-纯债,GTJWGSYZQDII,GUOTAIJINGWAIGAOSHOUYIZHAIQDII,Y
000104,富国丰泰债券A,债券型-混合一级,FGFTZQA,FUGUOFENGTAIZHAIQUANA,
000105,建信安心回报债券A,债券型-长债,JXAXHBZQA,JIANXINANXINHUIBAOZHAIQUANA,
000106,建信安心回报债券C,债券型-长债,JXAXHBZQC,JIANXINANXINHUIBAOZHAIQUANC,
000107,富国稳健增强债券A/B,债券型-混合二级,FGWJZQZQAB,FUGUOWENJIANZENGQIANGZHAIQUANAB,
000108,富国稳健增强债券A/B(后端),债券型-混合二级,FGWJZQZQAB,FUGUOWENJIANZENGQIANGZHAIQUANAB,
000109,富国稳健增强债券C,债券型-混合二级,FGWJZQZQC,FUGUOWENJIANZENGQIANGZHAIQUANC,
000110,金鹰元安混合A,混合型-偏债,JYYAHHA,JINYINGYUANANHUNHEA,
000111,易方达纯债1年定开债A,债券型-长债,YFDCZ1NDKZA,YIFANGDACHUNZHAI1NIANDINGKAIZHAIA,
000112,易方达纯债1年定开债C,债券型-长债,YFDCZ1NDKZC,YIFANGDACHUNZHAI1NIANDINGKAIZHAIC,
000116,嘉实丰益纯债定期债券A,债券型-长债,JSFYCZDQZQA,JIASHIFENGYICHUNZHAIDINGQIZHAIQUANA,
000117,广发轮动配置混合,混合型-偏股,GFLDPZHH,GUANGFALUNDONGPEIZHIHUNHE,
000118,广发聚鑫债券A,债券型-混合二级,GFJXZQA,GUANGFAJUXINZHAIQUANA,
000119,广发聚鑫债券C,债券型-混合二级,GFJXZQC,GUANGFAJUXINZHAIQUANC,
000120,中银美丽中国混合A,混合型-偏股,ZYMLZGHHA,ZHONGYINMEILIZHONGGUOHUNHEA,
000121,华夏永福混合A,混合型-偏债,HXYFHHA,HUAXIAYONGFUHUNHEA,
000122,汇添富实业债债券A,债券型-混合一级,HTFSYZZQA,HUITIANFUSHIYEZHAIZHAIQUANA,
000123,汇添富实业债债券C,债券型-混合一级,HTFSYZZQC,HUITIANFUSHIYEZHAIZHAIQUANC,
000124,华宝服务优选混合,混合型-偏股,HBFWYXHH,HUABAOFUWUYOUXUANHUNHE,
000126,招商安润灵活配置混合A,混合型-灵活,ZSARLHPZHHA,ZHAOSHANGANRUNLINGHUOPEIZHIHUNHEA,
000127,农银行业领先混合,混合型-偏股,NYHYLXHH,NONGYINHANGYELINGXIANHUNHE,
000128,大成景安短融债券A,债券型-中短债,DCJADRZQA,DACHENGJINGANDUANRONGZHAIQUANA,
000129,大成景安短融债券B,债券型-中短债,DCJADRZQB,DACHENGJINGANDUANRONGZHAIQUANB,
000130,大成景兴信用债债券A,债券型-混合一级,DCJXXYZZQA,DACHENGJINGXINGXINYONGZHAIZHAIQUANA,
000131,大成景兴信用债债券C,债券型-混合一级,DCJXXYZZQC,DACHENGJINGXINGXINYONGZHAIZHAIQUANC,
000134,中信保诚嘉鸿债券A,债券型-长债,ZXBCJHZQA,ZHONGXINBAOCHENGJIAHONGZHAIQUANA,
000135,中信保诚嘉鸿债券C,债券型-长债,ZXBCJHZQC,ZHONGXINBAOCHENGJIAHONGZHAIQUANC,
000136,民生加银策略精选混合A,混合型-灵活,MSJYCLJXHHA,MINSHENGJIAYINCELUEJINGXUANHUNHEA,
000137,民生加银岁岁增利债券A,债券型-长债,MSJYSSZLZQA,MINSHENGJIAYINSUISUIZENGLIZHAIQUANA,
000138,民生加银岁岁增利债券C,债券型-长债,MSJYSSZLZQC,MINSHENGJIAYINSUISUIZENGLIZHAIQUANC,
000139,富国国有企业债债券A/B,债券型-长债,FGGYQYZZQAB,FUGUOGUOYOUQIYEZHAIZHAIQUANAB,
000140,富国国有企业债债券A/B(后端),债券型-长债,FGGYQYZZQAB,FUGUOGUOYOUQIYEZHAIZHAIQUANAB,
000141,富国国有企业债债券C,债券型-长债,FGGYQYZZQC,FUGUOGUOYOUQIYEZHAIZHAIQUANC,
000142,融通增强收益债券A,债券型-混合二级,RTZQSYZQA,RONGTONGZENGQIANGSHOUYIZHAIQUANA,
000143,鹏华双债加利债券A,债券型-混合二级,PHSZJLZQA,PENGHUASHUANGZHAIJIALIZHAIQUANA,
000147,易方达高等级信用债债券A,债券型-长债,YFDGDJXYZZQA,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANA,
000148,易方达高等级信用债债券C,债券型-长债,YFDGDJXYZZQC,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANC,
000149,华安双债添利债券A,债券型-混合一级,HASZTLZQA,HUAANSHUANGZHAITIANLIZHAIQUANA,
000150,华安双债添利债券C,债券型-混合一级,HASZTLZQC,HUAANSHUANGZHAITIANLIZHAIQUANC,
000152,大成景旭纯债债券A,债券型-长债,DCJXCZZQA,DACHENGJINGXUCHUNZHAIZHAIQUANA,
000153,大成景旭纯债债券C,债券型-长债,DCJXCZZQC,DACHENGJINGXUCHUNZHAIZHAIQUANC,
000154,富国沪深300指数增强A(后端),指数型-股票,FGHS300ZSZQA,FUGUOHUSHEN300ZHISHUZENGQIANGA,
000155,富国通胀通缩主题轮动混合A(后端),混合型-偏股,FGTZTSZTLDHHA,FUGUOTONGZHANGTONGSUOZHUTILUNDONGHUNHEA,
000157,富国全球科技互联网股票(QDII)A(后端),QDII-普通股票,FGQQKJHLWGPQDIIA,FUGUOQUANQIUKEJIHULIANWANGGUPIAOQDIIA,Y
000158,富国低碳环保混合(后端),混合型-偏股,FGDTHBHH,FUGUODITANHUANBAOHUNHE,
000159,富国高新技术产业混合(后端),混合型-偏股,FGGXJSCYHH,FUGUOGAOXINJISHUCHANYEHUNHE,
000160,富国强回报定开债A/B(后端),债券型-长债,FGQHBDKZAB,FUGUOQIANGHUIBAODINGKAIZHAIAB,
000161,富国宏观策略灵活配置混合A(后端),混合型-灵活,FGHGCLLHPZHHA,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA,
000162,富国中国中小盘混合(QDII)人民币A(后端),QDII-混合偏股,FGZGZXPHHQDIIRMBA,FUGUOZHONGGUOZHONGXIAOPANHUNHEQDIIRENMINBIA,Y
000163,富国全球债券(QDII)人民币A(后端),QDII-混合债,FGQQZQQDIIRMBA,FUGUOQUANQIUZHAIQUANQDIIRENMINBIA,Y
000164,富国上证指数ETF联接A(后端),指数型-股票,FGSZZSETFLJA,FUGUOSHANGZHENGZHISHUETFLIANJIEA,
000165,国投瑞银策略精选混合,混合型-灵活,GTRYCLJXHH,GUOTOURUIYINCELUEJINGXUANHUNHE,
000166,中海信息产业混合A,混合型-偏股,ZHXXCYHHA,ZHONGHAIXINXICHANYEHUNHEA,
000167,广发聚优灵活配置混合A,混合型-灵活,GFJYLHPZHHA,GUANGFAJUYOULINGHUOPEIZHIHUNHEA,
000171,易方达裕丰回报债券A,债券型-混合二级,YFDYFHBZQA,YIFANGDAYUFENGHUIBAOZHAIQUANA,
000172,华泰柏瑞量化增强混合A,混合型-偏股,HTBRLHZQHHA,HUATAIBAIRUILIANGHUAZENGQIANGHUNHEA,
000173,汇添富美丽30混合A,混合型-偏股,HTFML30HHA,HUITIANFUMEILI30HUNHEA,
000174,汇添富高息债债券A,债券型-混合一级,HTFGXZZQA,HUITIANFUGAOXIZHAIZHAIQUANA,
000175,汇添富高息债债券C,债券型-混合一级,HTFGXZZQC,HUITIANFUGAOXIZHAIZHAIQUANC,
000176,嘉实沪深300指数研究增强A,指数型-股票,JSHS300ZSYJZQA,JIASHIHUSHEN300ZHISHUYANJIUZENGQIANGA,
000179,广发美国房地产指数人民币(QDII)A,指数型-海外股票,GFMGFDCZSRMBQDIIA,GUANGFAMEIGUOFANGDICHANZHISHURENMINBIQDIIA,
000180,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,GFMGFDCZSMYXHQDIIA,GUANGFAMEIGUOFANGDICHANZHISHUMEIYUANXIANHUIQDIIA,
000181,景顺长城四季金利债券A,债券型-混合二级,JSCCSJJLZQA,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANA,
000182,景顺长城四季金利债券C,债券型-混合二级,JSCCSJJLZQC,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANC,
000183,嘉实丰益策略定期债券,债券型-混合一级,JSFYCLDQZQ,JIASHIFENGYICELUEDINGQIZHAIQUAN,
000184,工银添福债券A,债券型-混合二级,GYTFZQA,GONGYINTIANFUZHAIQUANA,
000185,工银添福债券B,债券型-混合二级,GYTFZQB,GONGYINTIANFUZHAIQUANB,
000186,华泰柏瑞季季红债券A,债券型-混合一级,HTBRJJHZQA,HUATAIBAIRUIJIJIHONGZHAIQUANA,
000187,华泰柏瑞丰盛纯债债券A,债券型-长债,HTBRFSCZZQA,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANA,
000188,华泰柏瑞丰盛纯债债券C,债券型-长债,HTBRFSCZZQC,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANC,
000189,易方达丰华债券A,债券型-混合二级,YFDFHZQA,YIFANGDAFENGHUAZHAIQUANA,
000190,中银新回报灵活配置混合A,混合型-灵活,ZYXHBLHPZHHA,ZHONGYINXINHUIBAOLINGHUOPEIZHIHUNHEA,
000191,富国信用债债券A/B,债券型-长债,FGXYZZQAB,FUGUOXINYONGZHAIZHAIQUANAB,
000192,富国信用债债券C,债券型-长债,FGXYZZQC,FUGUOXINYONGZHAIZHAIQUANC,
000194,银华信用四季红债券A,债券型-长债,YHXYSJHZQA,YINHUAXINYONGSIJIHONGZHAIQUANA,
000195,工银成长收益混合A,混合型-灵活,GYCZSYHHA,GONGYINCHENGZHANGSHOUYIHUNHEA,
000196,工银成长收益混合B,混合型-灵活,GYCZSYHHB,GONGYINCHENGZHANGSHOUYIHUNHEB,
000197,富国目标收益一年期纯债债券,债券型-长债,FGMBSYYNQCZZQ,FUGUOMUBIAOSHOUYIYINIANQICHUNZHAIZHAIQUAN,
000198,天弘余额宝货币,货币型-普通货币,THYEBHB,TIANHONGYUEBAOHUOBI,
000199,国泰量化策略收益混合A,混合型-偏股,GTLHCLSYHHA,GUOTAILIANGHUACELUESHOUYIHUNHEA,
000200,博时岁岁增利一年持有期债券A,债券型-中短债,BSSSZLYNCYQZQA,BOSHISUISUIZENGLIYINIANCHIYOUQIZHAIQUANA,
000201,诺安泰鑫一年定期开放债券A,债券型-长债,NATXYNDQKFZQA,NUOANTAIXINYINIANDINGQIKAIFANGZHAIQUANA,
000203,国富日日收益货币A,货币型-普通货币,GFRRSYHBA,GUOFURIRISHOUYIHUOBIA,
000204,国富日日收益货币B,货币型-普通货币,GFRRSYHBB,GUOFURIRISHOUYIHUOBIB,
000205,易方达投资级信用债债券A,债券型-长债,YFDTZJXYZZQA,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANA,
000206,易方达投资级信用债债券C,债券型-长债,YFDTZJXYZZQC,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANC,
000207,建信双债增强债券A,债券型-混合一级,JXSZZQZQA,JIANXINSHUANGZHAIZENGQIANGZHAIQUANA,
000208,建信双债增强债券C,债券型-混合一级,JXSZZQZQC,JIANXINSHUANGZHAIZENGQIANGZHAIQUANC,
000209,中信保诚新兴产业混合A,混合型-偏股,ZXBCXXCYHHA,ZHONGXINBAOCHENGXINXINGCHANYEHUNHEA,
000210,光大现金宝货币A,货币型-普通货币,GDXJBHBA,GUANGDAXIANJINBAOHUOBIA,
000211,光大现金宝货币B,货币型-普通货币,GDXJBHBB,GUANGDAXIANJINBAOHUOBIB,
000212,泰信鑫益定期开放A,债券型-长债,TXXYDQKFA,TAIXINXINYIDINGQIKAIFANGA,
000213,泰信鑫益定期开放C,债券型-长债,TXXYDQKFC,TAIXINXINYIDINGQIKAIFANGC,
000214,广发成长优选混合,混合型-灵活,GFCZYXHH,GUANGFACHENGZHANGYOUXUANHUNHE,
000215,广发趋势优选灵活配置混合A,混合型-灵活,GFQSYXLHPZHHA,GUANGFAQUSHIYOUXUANLINGHUOPEIZHIHUNHEA,
000216,华安黄金ETF联接A,指数型-其他,HAHJETFLJA,HUAANHUANGJINETFLIANJIEA,
000217,华安黄金ETF联接C,指数型-其他,HAHJETFLJC,HUAANHUANGJINETFLIANJIEC,
000218,国泰黄金ETF联接A,指数型-其他,GTHJETFLJA,GUOTAIHUANGJINETFLIANJIEA,
000219,博时裕益混合A,混合型-灵活,BSYYHHA,BOSHIYUYIHUNHEA,
000220,富国医疗保健行业混合A,混合型-偏股,FGYLBJHYHHA,FUGUOYILIAOBAOJIANHANGYEHUNHEA,
000221,汇添富年年利定期开放债券A,债券型-混合一级,HTFNNLDQKFZQA,HUITIANFUNIANNIANLIDINGQIKAIFANGZHAIQUANA,
000222,汇添富年年利定期开放债券C,债券型-混合一级,HTFNNLDQKFZQC,HUITIANFUNIANNIANLIDINGQIKAIFANGZHAIQUANC,
000227,华安年年红债券A,债券型-混合一级,HANNHZQA,HUAANNIANNIANHONGZHAIQUANA,
000235,诺安稳固收益一年定期开放债券A,债券型-长债,NAWGSYYNDQKFZQA,NUOANWENGUSHOUYIYINIANDINGQIKAIFANGZHAIQUANA,
000236,工银月月薪定期支付债券A,债券型-混合二级,GYYYXDQZFZQA,GONGYINYUEYUEXINDINGQIZHIFUZHAIQUANA,
000239,华安年年盈定开债A,债券型-混合一级,HANNYDKZA,HUAANNIANNIANYINGDINGKAIZHAIA,
000240,华安年年盈定开债C,债券型-混合一级,HANNYDKZC,HUAANNIANNIANYINGDINGKAIZHAIC,
000241,宝盈核心优势混合C,混合型-灵活,BYHXYSHHC,BAOYINGHEXINYOUSHIHUNHEC,
000242,景顺长城策略精选灵活配置混合A,混合型-灵活,JSCCCLJXLHPZHHA,JINGSHUNCHANGCHENGCELUEJINGXUANLINGHUOPEIZHIHUNHEA,
000244,天弘稳利定期开放A,债券型-混合一级,THWLDQKFA,TIANHONGWENLIDINGQIKAIFANGA,
000245,天弘稳利定期开放B,债券型-混合一级,THWLDQKFB,TIANHONGWENLIDINGQIKAIFANGB,
000248,汇添富中证主要消费ETF联接A,指数型-股票,HTFZZZYXFETFLJA,HUITIANFUZHONGZHENGZHUYAOXIAOFEIETFLIANJIEA,
000251,工银金融地产混合A,混合型-偏股,GYJRDCHHA,GONGYINJINRONGDICHANHUNHEA,
000252,景顺长城景兴信用纯债债券A,债券型-长债,JSCCJXXYCZZQA,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANA,
000253,景顺长城景兴信用纯债债券C,债券型-长债,JSCCJXXYCZZQC,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANC,
000254,长城增强收益定开债券A,债券型-混合一级,CCZQSYDKZQA,CHANGCHENGZENGQIANGSHOUYIDINGKAIZHAIQUANA,
000255,长城增强收益定开债券C,债券型-混合一级,CCZQSYDKZQC,CHANGCHENGZENGQIANGSHOUYIDINGKAIZHAIQUANC,
000259,农银区间收益混合,混合型-灵活,NYQJSYHH,NONGYINQUJIANSHOUYIHUNHE,
000263,工银信息产业混合A,混合型-偏股,GYXXCYHHA,GONGYINXINXICHANYEHUNHEA,
000264,博时内需增长混合A,混合型-灵活,BSNXZZHHA,BOSHINEIXUZENGZHANGHUNHEA,
000265,易方达恒久添利1年定开债A,债券型-长债,YFDHJTL1NDKZA,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIA,
000266,易方达恒久添利1年定开债C,债券型-长债,YFDHJTL1NDKZC,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIC,
000267,广发集利一年定开债A,债券型-混合一级,GFJLYNDKZA,GUANGFAJILIYINIANDINGKAIZHAIA,
000268,广发集利一年定开债C,债券型-混合一级,GFJLYNDKZC,GUANGFAJILIYINIANDINGKAIZHAIC,
000270,建信灵活配置混合A,混合型-灵活,JXLHPZHHA,JIANXINLINGHUOPEIZHIHUNHEA,
000271,中邮定开债券A,债券型-长债,ZYDKZQA,ZHONGYOUDINGKAIZHAIQUANA,
000272,中邮定开债券C,债券型-长债,ZYDKZQC,ZHONGYOUDINGKAIZHAIQUANC,
000273,华润元大安鑫灵活配置混合A,混合型-灵活,HRYDAXLHPZHHA,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEA,
000274,广发亚太中高收益债(QDII)A,QDII-纯债,GFYTZGSYZQDIIA,GUANGFAYATAIZHONGGAOSHOUYIZHAIQDIIA,Y
000275,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,GFYTZGSYZMYXHQDIIA,GUANGFAYATAIZHONGGAOSHOUYIZHAIMEIYUANXIANHUIQDIIA,Y
000277,博时双月薪债券A,债券型-长债,BSSYXZQA,BOSHISHUANGYUEXINZHAIQUANA,
000279,华商红利优选混合,混合型-灵活,HSHLYXHH,HUASHANGHONGLIYOUXUANHUNHE,
000286,银华信用季季红债券A,债券型-混合一级,YHXYJJHZQA,YINHUAXINYONGJIJIHONGZHAIQUANA,
000289,鹏华丰泰定开债A,债券型-混合一级,PHFTDKZA,PENGHUAFENGTAIDINGKAIZHAIA,
000290,鹏华全球高收益债(QDII),QDII-纯债,PHQQGSYZQDII,PENGHUAQUANQIUGAOSHOUYIZHAIQDII,Y
000294,华安生态优先混合A,混合型-偏股,HASTYXHHA,HUAANSHENGTAIYOUXIANHUNHEA,
000295,鹏华丰实定期开放债券A,债券型-混合一级,PHFSDQKFZQA,PENGHUAFENGSHIDINGQIKAIFANGZHAIQUANA,
000296,鹏华丰实定期开放债券B,债券型-混合一级,PHFSDQKFZQB,PENGHUAFENGSHIDINGQIKAIFANGZHAIQUANB,
000297,鹏华可转债债券A,债券型-混合二级,PHKZZZQA,PENGHUAKEZHUANZHAIZHAIQUANA,
000298,中海纯债债券A,债券型-长债,ZHCZZQA,ZHONGHAICHUNZHAIZHAIQUANA,
000299,中海纯债债券C,债券型-长债,ZHCZZQC,ZHONGHAICHUNZHAIZHAIQUANC,
000300,德邦德利货币A,货币型-普通货币,DBDLHBA,DEBANGDELIHUOBIA,
000301,德邦德利货币B,货币型-普通货币,DBDLHBB,DEBANGDELIHUOBIB,
000305,中银中高等级债券A,债券型-长债,ZYZGDJZQA,ZHONGYINZHONGGAODENGJIZHAIQUANA,
000306,天弘弘利债券A,债券型-混合二级,THHLZQA,TIANHONGHONGLIZHAIQUANA,
000307,易方达黄金ETF联接A,指数型-其他,YFDHJETFLJA,YIFANGDAHUANGJINETFLIANJIEA,
000308,建信创新中国混合,混合型-偏股,JXCXZGHH,JIANXINCHUANGXINZHONGGUOHUNHE,
000309,大摩品质生活精选股票A,股票型,DMPZSHJXGPA,DAMOPINZHISHENGHUOJINGXUANGUPIAOA,
000310,安信永利信用债券A,债券型-混合一级,AXYLXYZQA,ANXINYONGLIXINYONGZHAIQUANA,
000311,景顺长城沪深300指数增强A,指数型-股票,JSCCHS300ZSZQA,JINGSHUNCHANGCHENGHUSHEN300ZHISHUZENGQIANGA,
000312,华安沪深300增强A,指数型-股票,HAHS300ZQA,HUAANHUSHEN300ZENGQIANGA,
000313,华安沪深300增强C,指数型-股票,HAHS300ZQC,HUAANHUSHEN300ZENGQIANGC,
000314,招商瑞丰灵活配置混合发起式A,混合型-灵活,ZSRFLHPZHHFQSA,ZHAOSHANGRUIFENGLINGHUOPEIZHIHUNHEFAQISHIA,
